year,month,day,day_pillar,month_pillar,year_pillar,lunar_year,lunar_month,lunar_day,is_leap_month,solar_term_hanja,solar_term_korean,term_time,term_time_seoul_lmt,term_time_utc
1900,6,17,辛酉,壬午,庚子,1900,5,21,,,,,,
1900,6,18,壬戌,壬午,庚子,1900,5,22,,,,,,
1900,6,19,癸亥,壬午,庚子,1900,5,23,,,,,,
1900,6,20,甲子,壬午,庚子,1900,5,24,,,,,,
1900,6,21,乙丑,壬午,庚子,1900,5,25,,,,,,
1900,6,22,丙寅,壬午,庚子,1900,5,26,,夏至,하지,190006220639,190006220606,190006212139
1900,6,23,丁卯,壬午,庚子,1900,5,27,,,,,,
1900,6,24,戊辰,壬午,庚子,1900,5,28,,,,,,
1900,6,25,己巳,壬午,庚子,1900,5,29,,,,,,
1900,6,26,庚午,壬午,庚子,1900,5,30,,,,,,
1900,6,27,辛未,壬午,庚子,1900,6,1,,,,,,
1900,6,28,壬申,壬午,庚子,1900,6,2,,,,,,
1900,6,29,癸酉,壬午,庚子,1900,6,3,,,,,,
1900,6,30,甲戌,壬午,庚子,1900,6,4,,,,,,
1900,7,1,乙亥,壬午,庚子,1900,6,5,,,,,,
1900,7,2,丙子,壬午,庚子,1900,6,6,,,,,,
1900,7,3,丁丑,壬午,庚子,1900,6,7,,,,,,
1900,7,4,戊寅,壬午,庚子,1900,6,8,,,,,,
1900,7,5,己卯,壬午,庚子,1900,6,9,,,,,,
1900,7,6,庚辰,壬午,庚子,1900,6,10,,,,,,
1900,7,7,辛巳,壬午,庚子,1900,6,11,,,,,,
1900,7,8,壬午,癸未,庚子,1900,6,12,,小暑,소서,190007080009,190007072337,190007071509
1900,7,9,癸未,癸未,庚子,1900,6,13,,,,,,
1900,7,10,甲申,癸未,庚子,1900,6,14,,,,,,
1900,7,11,乙酉,癸未,庚子,1900,6,15,,,,,,
1900,7,12,丙戌,癸未,庚子,1900,6,16,,,,,,
1900,7,13,丁亥,癸未,庚子,1900,6,17,,,,,,
1900,7,14,戊子,癸未,庚子,1900,6,18,,,,,,
1900,7,15,己丑,癸未,庚子,1900,6,19,,,,,,
1900,7,16,庚寅,癸未,庚子,1900,6,20,,,,,,
1900,7,17,辛卯,癸未,庚子,1900,6,21,,,,,,
1900,7,18,壬辰,癸未,庚子,1900,6,22,,,,,,
1900,7,19,癸巳,癸未,庚子,1900,6,23,,,,,,
1900,7,20,甲午,癸未,庚子,1900,6,24,,,,,,
1900,7,21,乙未,癸未,庚子,1900,6,25,,,,,,
1900,7,22,丙申,癸未,庚子,1900,6,26,,,,,,
1900,7,23,丁酉,癸未,庚子,1900,6,27,,大暑,대서,190007231735,190007231703,190007230835
1900,7,24,戊戌,癸未,庚子,1900,6,28,,,,,,
1900,7,25,己亥,癸未,庚子,1900,6,29,,,,,,
1900,7,26,庚子,癸未,庚子,1900,7,1,,,,,,
1900,7,27,辛丑,癸未,庚子,1900,7,2,,,,,,
1900,7,28,壬寅,癸未,庚子,1900,7,3,,,,,,
1900,7,29,癸卯,癸未,庚子,1900,7,4,,,,,,
1900,7,30,甲辰,癸未,庚子,1900,7,5,,,,,,
1900,7,31,乙巳,癸未,庚子,1900,7,6,,,,,,
1900,8,1,丙午,癸未,庚子,1900,7,7,,,,,,
1900,8,2,丁未,癸未,庚子,1900,7,8,,,,,,
1900,8,3,戊申,癸未,庚子,1900,7,9,,,,,,
1900,8,4,己酉,癸未,庚子,1900,7,10,,,,,,
1900,8,5,庚戌,癸未,庚子,1900,7,11,,,,,,
1900,8,6,辛亥,癸未,庚子,1900,7,12,,,,,,
1900,8,7,壬子,癸未,庚子,1900,7,13,,,,,,
1900,8,8,癸丑,甲申,庚子,1900,7,14,,立秋,입추,190008080949,190008080917,190008080049
1900,8,9,甲寅,甲申,庚子,1900,7,15,,,,,,
1900,8,10,乙卯,甲申,庚子,1900,7,16,,,,,,
1900,8,11,丙辰,甲申,庚子,1900,7,17,,,,,,
1900,8,12,丁巳,甲申,庚子,1900,7,18,,,,,,
1900,8,13,戊午,甲申,庚子,1900,7,19,,,,,,
1900,8,14,己未,甲申,庚子,1900,7,20,,,,,,
1900,8,15,庚申,甲申,庚子,1900,7,21,,,,,,
1900,8,16,辛酉,甲申,庚子,1900,7,22,,,,,,
1900,8,17,壬戌,甲申,庚子,1900,7,23,,,,,,
1900,8,18,癸亥,甲申,庚子,1900,7,24,,,,,,
1900,8,19,甲子,甲申,庚子,1900,7,25,,,,,,
1900,8,20,乙丑,甲申,庚子,1900,7,26,,,,,,
1900,8,21,丙寅,甲申,庚子,1900,7,27,,,,,,
1900,8,22,丁卯,甲申,庚子,1900,7,28,,,,,,
1900,8,23,戊辰,甲申,庚子,1900,7,29,,,,,,
1900,8,24,己巳,甲申,庚子,1900,7,30,,處暑,처서,190008240019,190008232347,190008231519
1900,8,25,庚午,甲申,庚子,1900,8,1,,,,,,
1900,8,26,辛未,甲申,庚子,1900,8,2,,,,,,
1900,8,27,壬申,甲申,庚子,1900,8,3,,,,,,
1900,8,28,癸酉,甲申,庚子,1900,8,4,,,,,,
1900,8,29,甲戌,甲申,庚子,1900,8,5,,,,,,
1900,8,30,乙亥,甲申,庚子,1900,8,6,,,,,,
1900,8,31,丙子,甲申,庚子,1900,8,7,,,,,,
1900,9,1,丁丑,甲申,庚子,1900,8,8,,,,,,
1900,9,2,戊寅,甲申,庚子,1900,8,9,,,,,,
1900,9,3,己卯,甲申,庚子,1900,8,10,,,,,,
1900,9,4,庚辰,甲申,庚子,1900,8,11,,,,,,
1900,9,5,辛巳,甲申,庚子,1900,8,12,,,,,,
1900,9,6,壬午,甲申,庚子,1900,8,13,,,,,,
1900,9,7,癸未,甲申,庚子,1900,8,14,,,,,,
1900,9,8,甲申,乙酉,庚子,1900,8,15,,白露,백로,190009081215,190009081143,190009080315
1900,9,9,乙酉,乙酉,庚子,1900,8,16,,,,,,
1900,9,10,丙戌,乙酉,庚子,1900,8,17,,,,,,
1900,9,11,丁亥,乙酉,庚子,1900,8,18,,,,,,
1900,9,12,戊子,乙酉,庚子,1900,8,19,,,,,,
1900,9,13,己丑,乙酉,庚子,1900,8,20,,,,,,
1900,9,14,庚寅,乙酉,庚子,1900,8,21,,,,,,
1900,9,15,辛卯,乙酉,庚子,1900,8,22,,,,,,
1900,9,16,壬辰,乙酉,庚子,1900,8,23,,,,,,
1900,9,17,癸巳,乙酉,庚子,1900,8,24,,,,,,
1900,9,18,甲午,乙酉,庚子,1900,8,25,,,,,,
